1,admin,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,admin,admin@admin.com,0877,0
2,manager,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,manager1,manager1@manager.com,0877,1
3,manager2,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,manager2,manager2@manager.com,0877,1
4,petugas1,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,petugas1,petugas1@manager.com,0877,2
5,petugas2,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,petugas2,petugas1@manager.com,0877,2
6,petugas3,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,petugas3,petugas1@manager.com,0877,2
7,petugas4,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,petugas4,petugas1@manager.com,0877,2
8,petugas5,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,petugas5,petugas1@manager.com,0877,2
9,petugas6,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,petugas6,petugas1@manager.com,0877,2
10,pelanggan1,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,pelanggan1,pelanggan1@pelanggan.com,0877,3
